Benchmark | Cycle Counts | Algorithm Runtime (s)| Sample Sizes | Passes 
adpcm.c|10501.0|32653.99713921547|6664|[0, 0, 1, 6, 25, 24, 23, 31, 19, 36, 0, 33]
aes.c|9759.0|30134.697662830353|6664|[1, 0, 23, 1, 16, 1, 33, 9, 33, 1, 32, 12]
bf.c|180179.0|28809.435779333115|6664|[8, 8, 23, 0, 0, 1, 0, 23, 33, 4, 33, 31]
dhry.c|5740.0|27414.684950590134|6664|[0, 0, 30, 25, 1, 23, 0, 33, 40, 0, 33, 23]
gsm.c|6500.0|25397.955678462982|6664|[31, 30, 38, 1, 23, 1, 5, 33, 33, 41, 0, 0]
matrixmultiply.c|33244.0|13588.421806812286|6664|[37, 10, 0, 23, 8, 11, 8, 23, 0, 0, 34, 23]
mpeg2.c|8281.0|18566.05159854889|6664|[11, 23, 8, 0, 0, 24, 0, 40, 0, 1, 33, 23]
qsort.c|47785.0|14731.511923789978|6664|[30, 8, 13, 36, 26, 0, 32, 0, 31, 22, 33, 23]
sha_driver.c|209155.0|16351.80620098114|6664|[0, 38, 23, 1, 16, 33, 1, 1, 33, 18, 0, 33]

