Benchmark | Cycle Counts | Algorithm Runtime (s)| Sample Sizes | Passes 
adpcm.c|11261|11267.054375171661|3510|[25 23  3 25 43  1 22  0 34 10 33 21]
aes.c|9795|10856.818266391754|3510|[23 20 34 11 33 10 32  9 31  8 30  7]
bf.c|180849|9809.962501764297|3510|[33 10 32  9 31  8 20 30 34 23  7 11]
dhry.c|8957|8833.069103240967|3510|[26 23  6 27  8  4 29 25 19 24  5  3]
gsm.c|6178|11086.613474845886|3510|[30  9 32 25  3 23  1  0 31 33 10  8]
matrixmultiply.c|33244|7710.27255153656|3510|[23 20 34 11 33 10 32  9 31  8 30  7]
mpeg2.c|8471|9858.004487752914|3510|[23  3 26  6 29  9 32 12 36 16 41 38]
qsort.c|52197|7948.680889844894|3510|[33 20 10 34 32 11  9 31 23  8 30  7]
sha_driver.c|222024|9265.969292163849|3510|[23 20 34 12 35 13 36 14 37 15 38 16]

